Boards,5,,,,
Quantity,Single,Digi-Key Part Number,Manufacturer Part Number,Description,Customer Reference
5,1,296-4531-5-ND,SN74AHC125N,IC BUF NON-INVERT 5.5V 14DIP,IC4
5,1,ED3050-5-ND,ED281DT,CONN IC DIP SOCKET 28POS TIN,IC1
10,2,ED3044-5-ND,ED08DT,CONN IC DIP SOCKET 8POS TIN,"IC2, IC3"
15,3,952-1843-ND,M20-9991046,CONN HEADER VERT 10POS 2.54MM,
5,1,MCP1700-3302E/TO-ND,MCP1700-3302E/TO,IC REG LINEAR 3.3V 250MA TO92-3,IC5
5,1,PIC12F683-I/P-ND,PIC12F683-I/P,IC MCU 8BIT 3.5KB FLASH 8DIP,IC2
5,1,ATMEGA328P-PU-ND,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,IC1
10,2,754-1275-ND,WP7113SRD/D,LED RED DIFFUSED T-1 3/4 T/H,"L1, L2"
5,1,754-1735-ND,WP7113SGD,LED GREEN DIFFUSED T-1 3/4 T/H,L3
15,3,220QBK-ND,CFR-25JB-52-220R,RES 220 OHM 1/4W 5% AXIAL,220
25,5,399-4491-1-ND,C420C104K5R5TA7200,CAP CER 0.1UF 50V X7R AXIAL,.1UF
5,1,2.0KQBK-ND,CFR-25JB-52-2K,RES 2K OHM 1/4W 5% AXIAL,2K
30,6,10KQBK-ND,CFR-25JB-52-10K,RES 10K OHM 1/4W 5% AXIAL,10K
5,1,BC22AAW-ND,BC22AAW,"BATT HOLDER AA 2 CELL 6"" LEADS",B2
10,2,399-4220-ND,C317C220J2G5TA,CAP CER 22PF 200V NP0 RADIAL,22PF
20,4,952-2228-ND,M20-1060300,CONN RCPT HSG 3POS 2.54MM,CRIMP HOUSING
125,25,952-2157-1-ND,M20-1160042,CONN SOCKET 22-30AWG CRIMP GOLD,CRIMP CONTACT
5,1,401-1812-ND,KSA0M332LFT,SWITCH TACTILE SPST-NO 0.01A 32V,B1
5,1,DS1307N+-ND,DS1307N+,IC RTC CLK/CALENDAR I2C 8-DIP,IC3
5,1,535-9034-ND,AB38T-32.768KHZ,CRYSTAL 32.7680KHZ 12.5PF TH,Y2
5,1,SY033-ND,CR1220,BATTERY LITHIUM 3V COIN 12.5MM,
5,1,952-2247-ND,M20-9960645,CONN HEADER R/A 6POS 2.54MM,
5,1,BC501SM-ND,BC501SM,BATTERY HOLDER COIN 12MM SMD,B1 
5,1,DS18B20+-ND,DS18B20+,SENSOR DIGITAL -55C-125C TO92-3,DS18B20
5,1,4.7KQBK-ND,CFR-25JB-52-4K7,RES 4.7K OHM 1/4W 5% AXIAL,4.7K
5,1,CTX415-ND,ATS16A,CRYSTAL 16.0000MHZ 20PF TH,Y1
